Thread-1--http://www.ygdy8.net//i/97058.html-geturllist-爬取程序错误 insertMany() takes exactly 3 arguments (2 given)
MainThread--http://www.dy2018.com/index.html-geturllist-爬取程序错误 HTTP Error 502: Server Hangup
MainThread--http://www.dy2018.com/index.html-geturllist-爬取程序错误 HTTP Error 502: Server Hangup
MainThread--http://www.dy2018.com/index.html-geturllist-爬取程序错误 HTTP Error 502: Server Hangup
MainThread--http://www.dy2018.com/index.html-geturllist-爬取程序错误 HTTP Error 502: Server Hangup
MainThread-----formatlist错误---- 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
MainThread-----formatlist错误---- 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
Thread-6-----foreach-----爬取程序错误 'unicode' object has no attribute 'get'
